station,lat,lon
4491.09,40.68814,-73.92693
4494.04,40.68851534,-73.9647628
4497.09,40.6893952,-73.9995126
4500.07,40.68973,-73.93353
4507.07,40.68906,-73.90506
4510.04,40.6894932,-73.942061
4513.06,40.689888,-73.981013
4513.09,40.690065,-73.978776
4517.03,40.68989,-73.91458
4519.02,40.6883337,-73.950916
4519.04,40.69072549,-73.95133465
4522.07,40.68917,-73.9886
4526.01,40.69047,-73.923511
4528.01,40.69064807082943,-73.95746178925037
4531.05,40.69089272,-73.99612349
4534.06,40.6904,-73.9277
4543.07,40.68995,-73.9365
4546.04,40.68981035,-73.97493121
4546.05,40.6917823,-73.9737299
4550.05,40.68929,-73.90951
4553.04,40.69128258,-73.9452416
4556.08,40.69068758614303,-73.98347854614258
4560.01,40.69122,-73.91693
4565.07,40.6910363748993,-73.99201065301895
4568.01,40.692,-73.92617
4576.11,40.6919925157634,-73.9325501024723
4582.08,40.690434,-73.903737
4587.02,40.69178,-73.97877
4590.01,40.69231660719192,-74.01486575603485
4591.04,40.69055,-73.91181
4596.05,40.69221589,-73.9842844
4596.09,40.69236178,-73.98631746
4600.09,40.69146,-73.92146
4605.04,40.69239502,-73.99337909
4608.01,40.69329,-73.92852
4611.03,40.69196035,-73.96536851
4614.04,40.69165183,-73.9999786
4615.01,40.69338,-73.90061
4617.01,40.69237074,-73.93705428
4620.02,40.69308257,-73.97178913
4623.02,40.693,-73.90824
4628.05,40.69196566,-73.9813018
4628.07,40.693534,-73.981909
4632.10,40.69296,-73.91605
4634.02,40.69331716,-73.95381995
4637.06,40.69241829257847,-73.98949474096298
4637.07,40.695,-73.98917
4640.01,40.69356,-73.92524
4645.04,40.69400964865994,-73.99465128779411
4645.09,40.69512845,-73.99595065
4648.03,40.6938,-73.93114
4651.02,40.693261,-73.968896
4654.01,40.69517,-73.90311
4656.03,40.6933982,-73.939877
4659.02,40.69327018,-73.97703874
4663.02,40.69385,-73.90974
4663.06,40.69545,-73.91164
4665.02,40.69425403,-73.94626915
4668.08,40.69474881,-73.98362464
4672.01,40.69543,-73.9196
4677.01,40.69597683,-73.99014892
4677.06,40.6942715,-73.9923272
4680.05,40.69502,-73.92825
4683.02,40.69363137,-73.96223558
4687.03,40.69559,-73.89927
4689.03,40.69544,-73.93223
4689.08,40.69465,-73.9343
4692.01,40.69573398,-73.97129668
4695.04,40.69467,-73.90663
4697.01,40.69622937,-73.94371094
4700.06,40.69608941,-73.97803415
4707.03,40.69539817,-73.94954908
4707.04,40.69527008,-73.95238108
4710.06,40.695065,-73.987167
4713.01,40.69676,-73.92302
4715.01,40.694546087246025,-73.95801365375519
4718.08,40.69535693320225,-73.99344027042389
4719.04,40.69715,-73.8936
4721.01,40.69671,-73.92807
4724.03,40.69610226,-73.96751037
4727.06,40.69662,-73.90056
4729.01,40.69681963,-73.93756926
4732.04,40.69580705,-73.97355569
4732.08,40.697787,-73.973736
4735.03,40.69811,-73.90904
4735.16,40.6972,-73.90674
4743.04,40.69714,-73.91566
4748.07,40.69623297129315,-73.99142056703568
4751.01,40.697842,-73.926241
4756.04,40.698458,-73.997178
4757.06,40.69723,-73.89811
4759.02,40.69757,-73.93098
4762.04,40.69794,-73.96986848
4762.05,40.69795031569544,-73.97077560424805
4765.07,40.69812,-73.90271
4768.02,40.698617,-73.941342
4771.07,40.697926,-73.97663
4775.01,40.698,-73.9127
4781.03,40.69766564,-73.98476437
4781.05,40.698477,-73.98384
4784.02,40.698568,-73.918877
4789.03,40.69760127,-73.99344559
4792.03,40.700003,-73.92834
4798.02,40.69922,-73.89795
4798.10,40.6988,-73.9007
4801.04,40.697481,-73.935877
4804.02,40.69985,-73.97141
4807.02,40.70068,-73.90742
4812.02,40.69839895,-73.98068914
4812.04,40.699569,-73.979827
4816.02,40.69943,-73.91337
4816.05,40.69905,-73.91516
4818.02,40.69928,-73.953259
4818.03,40.70029511,-73.95032283
4821.03,40.700119,-73.9862
4821.06,40.69991755,-73.98971773
